station,location,cutoff_rigidity,altitude_m
AATB,Alma-Ata B,5.9,3340.0
APTY,Apatity,0.65,181.0
ATHN,Athens,8.53,260.0
BKSN,Baksan,5.7,1700.0
CALG,Calgary,1.08,1123.0
CALM,NM de Castilla la Mancha,6.95,708.0
DOMB,Dome C mini NM (bare),0.01,3233.0
DOMC,Dome C mini NM,0.01,3233.0
DRBS,Dourbes,3.18,225.0
FSMT,Fort Smith,0.3,180.0
INVK,Inuvik,0.3,21.0
IRK2,Irkustk 2,3.64,2000.0
IRK3,Irkutsk 3,3.64,3000.0
JBGO,JangBogo,0.3,29.0
JUNG,IGY Jungfraujoch,4.49,3570.0
JUNG1,NM64 Jungfraujoch,4.49,3475.0
KERG,Kerguelen,1.14,33.0
KIEL2,KielRT,2.36,54.0
LMKS,Lomnicky Stit,3.84,2634.0
MWSN,Mawson,0.22,30.0
MXCO,Mexico,8.28,2274.0
NAIN,Nain,0.3,46.0
NANM,Nor-Amberd,7.1,2000.0
NEWK,Newark,2.4,50.0
OULU,Oulu,0.81,15.0
PWNK,Peawanuck,0.3,53.0
ROME,Rome,6.27,0.0
SOPB,South Pole Bare,0.1,2820.0
SOPO,South Pole,0.1,2820.0
TERA,Terre Adelie,0.01,32.0
THUL,Thule,0.3,26.0
TXBY,Tixie Bay,0.48,0.0
YKTK,Yakutsk,1.65,105.0
